source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc234,e173,2,-1,6,01619.txt,00173.txt,169,work;affirmative;codi;government;mr.,blue;mfs;ladonna;juvenile;mose
doc235,e383,2,-1,8,00296.txt,00383.txt,25,tax;rates;economic;cuts;growth,welfare;tax;capital;windows;u.n.
doc236,e383,2,-1,8,02482.txt,00383.txt,133,dhs;officials;large;material;radioactive,p.m.;introduction;pan;asean;remarks
doc237,e383,2,-1,8,00394.txt,00383.txt,197,13%;games;18;mo..;mos.,a.m.;united;copper;72;states
doc238,e383,2,-1,8,04042.txt,00383.txt,22,rose;cents;bank;kong;ltd.,million;cattle;u.s.;gruma;pence
doc239,e780,2,-1,9,02023.txt,00780.txt,14,said;billion;billion.;billion;share,construction;deficit;swiss;french;auchan
doc24,e50,2,-1,7,00079.txt,00050.txt,172,million;ringgit;berjaya;waneta;tan,st.;credit;box;battle;mountain
doc240,e780,2,-1,9,01144.txt,00780.txt,133,parking;new;westside;oriole;stadium,p.m.;introduction;pan;asean;remarks
doc241,e349,2,-1,10,03684.txt,00349.txt,22,said;cents;futures;corn;september,million;cattle;u.s.;gruma;pence
doc242,e349,2,-1,10,03360.txt,00349.txt,133,manager;davida;run;twins;brewers,p.m.;introduction;pan;asean;remarks
doc243,e349,2,-1,10,00486.txt,00349.txt,172,outage;bpa;said;electric;power,st.;credit;box;battle;mountain
doc244,e349,2,-1,10,01909.txt,00349.txt,133,antarctica;airlines;says;calls;pr,p.m.;introduction;pan;asean;remarks
doc245,e349,2,-1,10,03239.txt,00349.txt,172,said;fiscal;2011;corn;cargill,st.;credit;box;battle;mountain
doc246,e383,2,-1,8,04161.txt,00383.txt,133,new;abortion;use;doctors;drug,p.m.;introduction;pan;asean;remarks
doc247,e383,2,-1,8,00494.txt,00383.txt,172,rose;cents;sales;drug;amgen,st.;credit;box;battle;mountain
doc248,e383,2,-1,8,02513.txt,00383.txt,5,gas;nova;said;pipeline;scotia,gas;pipeline;british;energy;price
doc249,e383,2,-1,8,00372.txt,00383.txt,1,said;premium;miami;money;investigators,premium;investigators;money;said;miami
doc25,e13,2,-1,0,02955.txt,00013.txt,45,president;creative;said.;chief;mr.,family;ife;vastcomm;true;comsat
doc250,e383,2,-1,8,02470.txt,00383.txt,169,president;week;marching;taking;voters,blue;mfs;ladonna;juvenile;mose
doc251,e383,2,-1,8,02544.txt,00383.txt,197,million;copper;pounds;says;prices,a.m.;united;copper;72;states
doc252,e383,2,-1,8,01331.txt,00383.txt,197,'shares;index;said;malayan;wednesday''s',a.m.;united;copper;72;states
doc253,e383,2,-1,8,02679.txt,00383.txt,197,;suspicious;press;raised;threat,a.m.;united;copper;72;states
doc254,e383,2,-1,8,03872.txt,00383.txt,16,office;rufina;says;mr.;clients,games;mr.;codi;rufina;derryberry
doc255,e383,2,-1,8,02577.txt,00383.txt,133,vaginal;said;normal;c-section.;women,p.m.;introduction;pan;asean;remarks
doc256,e383,2,-1,8,03074.txt,00383.txt,172,discover;says;credit-counseling;members;nfcc,st.;credit;box;battle;mountain
doc257,e383,2,-1,8,03904.txt,00383.txt,197,neighborhood;local;gun;residents;vastopolis,a.m.;united;copper;72;states
doc258,e383,2,-1,8,02267.txt,00383.txt,197,way;available;worth;mr.;sold,a.m.;united;copper;72;states
doc259,e349,2,-1,10,03622.txt,00349.txt,169,president;codi;white;house;mr.,blue;mfs;ladonna;juvenile;mose
doc26,e13,2,-1,0,01247.txt,00013.txt,172,circon;said;plan;surgical;u.s.,st.;credit;box;battle;mountain
doc260,e383,2,-1,8,02467.txt,00383.txt,197,fell;jones;stock;dow;stocks,a.m.;united;copper;72;states
